 Secondi;UTC;Lan;Lon;SOP;COG;Alt1;Int_temp;Ext_temp;Ext_press;Alt2;Ext_um;O3;CO2_raw;CO2_el2
0;11:48:30;42 38.23758 N;012 33.07254 E;;;390,60;31,88;18,10;97.615;405,64;65,23;0,02;213,62;415,00
2;11:48:32;42 38.24682 N;012 33.07381 E;;;398,10;32,00;18,07;97.530;413,10;65,00;0,02;209,50;414,69
4;11:48:34;42 38.25797 N;012 33.07426 E;;;413,10;32,00;18,01;97.385;425,81;64,96;0,02;196,54;413,97
6;11:48:36;42 38.26907 N;012 33.07524 E;;;425,80;32,13;17,95;97.236;438,89;64,48;0,02;184,59;413,29
8;11:48:38;42 38.27804 N;012 33.07711 E;;;438,80;32,00;17,87;97.119;449,13;63,87;0,02;185,80;413,24
10;11:48:40;42 38.28946 N;012 33.07836 E;;;449,10;32,00;17,80;96.976;461,70;63,57;0,02;170,19;412,40
12;11:48:42;42 38.29727 N;012 33.07902 E;;;461,70;32,00;17,73;96.850;472,77;63,61;0,02;174,68;412,51
14;11:48:44;42 38.30585 N;012 33.07932 E;;;472,70;32,00;17,65;96.715;484,64;63,60;0,02;183,55;412,83
16;11:48:46;42 38.31573 N;012 33.07980 E;;;484,60;32,13;;;;;;;412,83
18;11:48:48;42 38.32757 N;012 33.08028 E;;;495,20;32,13;17,58;96.595;495,21;63,68;0,02;184,02;412,83
20;11:48:50;42 38.33610 N;012 33.08042 E;;;505,10;32,25;17,53;96.483;505,11;63,60;0,02;176,18;412,37
22;11:48:52;42 38.34228 N;012 33.08094 E;;;517,30;32,13;17,44;96.344;517,36;63,59;0,02;164,86;411,75
24;11:48:54;42 38.35260 N;012 33.08150 E;;;529,10;32,13;17,37;96.211;529,11;63,64;0,02;153,90;411,14
26;11:48:56;42 38.36526 N;012 33.08194 E;;;541,40;32,13;17,28;96.071;541,48;63,82;0,02;165,80;411,62
28;11:48:58;42 38.37234 N;012 33.08224 E;;;553,30;32,25;17,25;95.938;553,34;63,88;0,02;178,04;412,11
30;11:49:00;42 38.38111 N;012 33.08272 E;;;564,80;32,13;17,12;95.807;564,85;63,91;0,02;174,89;411,87
32;11:49:02;42 38.39106 N;012 33.08316 E;;;574,60;32,25;17,07;95.697;574,63;64,07;0,02;179,25;412,00
34;11:49:04;42 38.40072 N;012 33.08352 E;;;585,40;32,13;17,03;95.576;585,44;64,32;0,02;167,17;411,35
36;11:49:06;42 38.41188 N;012 33.08412 E;;;596,10;32,13;16,96;95.456;596,11;64,50;0,02;159,74;410,92
38;11:49:08;42 38.42015 N;012 33.08478 E;;;608,60;32,13;16,87;95.315;608,65;64,68;0,02;152,68;410,51
40;11:49:10;42 38.43150 N;012 33.08514 E;;;619,90;32,25;16,82;95.189;619,92;64,82;0,02;156,64;410,62
42;11:49:12;42 38.43494 N;012 33.08574 E;;;631,10;32,13;16,77;95.064;631,12;64,93;0,02;156,90;410,56
44;11:49:14;42 38.43914 N;012 33.08611 E;;;642,60;32,38;16,68;94.935;642,61;65,07;0,02;157,40;410,51
46;11:49:16;42 38.44386 N;012 33.08693 E;;;650,70;32,38;16,65;94.845;650,71;65,13;0,02;173,28;411,19
48;11:49:18;42 38.44752 N;012 33.08725 E;;;660,90;32,25;;;;;;;411,19
50;11:49:20;42 38.45227 N;012 33.08771 E;;;668,80;32,25;16,58;94.730;660,99;65,23;0,02;177,84;411,19
52;11:49:22;42 38.45762 N;012 33.08823 E;;;678,60;32,25;16,53;94.642;668,87;65,34;0,02;182,33;411,33
54;11:49:24;42 38.46204 N;012 33.08867 E;;;689,60;32,25;16,49;94.534;678,61;65,50;0,02;186,77;411,47
56;11:49:26;42 38.46697 N;012 33.08900 E;;;699,90;32,38;16,43;94.411;689,67;65,63;0,02;191,50;411,62
58;11:49:28;42 38.46972 N;012 33.08961 E;;;709,20;32,50;16,36;94.296;699,99;65,73;0,02;196,43;411,79
60;11:49:30;42 38.47422 N;012 33.09003 E;;;719,60;32,38;16,30;94.193;709,26;65,83;0,02;196,85;411,74
62;11:49:32;42 38.47818 N;012 33.09084 E;;;730,10;32,25;16,25;94.075;719,92;65,83;0,02;197,29;411,70
64;11:49:34;42 38.48326 N;012 33.09136 E;;;741,30;32,25;16,19;93.962;730,12;65,84;0,02;197,80;411,66
66;11:49:36;42 38.48808 N;012 33.09115 E;;;751,60;32,38;16,13;93.838;741,33;65,91;0,02;193,79;411,41
68;11:49:38;42 38.49137 N;012 33.09269 E;;;760,80;32,50;16,07;93.724;751,65;66,06;0,02;194,15;411,36
70;11:49:40;42 38.49511 N;012 33.09243 E;;;769,30;32,38;16,01;93.622;760,86;66,24;0,02;194,50;411,32
72;11:49:42;42 38.49998 N;012 33.09371 E;;;780,30;32,25;15,98;93.529;769,34;66,31;0,02;190,27;411,06
74;11:49:44;42 38.50305 N;012 33.09310 E;;;791,40;32,38;15,92;93.408;780,32;66,45;0,02;177,79;410,41
76;11:49:46;42 38.50826 N;012 33.09447 E;;;801,00;32,50;15,87;93.286;791,44;66,65;0,02;169,80;409,98
78;11:49:48;42 38.51251 N;012 33.09580 E;;;812,00;32,38;15,83;93.181;801,03;66,82;0,02;169,96;409,93
80;11:49:50;42 38.51707 N;012 33.09645 E;;;824,30;32,25;;;;;;;409,93
82;11:49:52;42 38.52089 N;012 33.09755 E;;;835,70;32,38;15,78;93.060;812,08;66,86;0,02;166,29;409,93
84;11:49:54;42 38.52521 N;012 33.09823 E;;;847,20;32,50;15,71;92.925;824,38;66,94;0,02;170,78;410,08
86;11:49:56;42 38.52991 N;012 33.09975 E;;;857,70;32,50;15,63;92.800;835,74;67,14;0,02;179,51;410,44
88;11:49:58;42 38.53338 N;012 33.09996 E;;;867,10;32,38;15,56;92.674;847,24;67,56;0,03;183,96;410,60
90;11:50:00;42 38.53827 N;012 33.10029 E;;;879,10;32,50;15,52;92.559;857,82;67,81;0,03;188,38;410,75
92;11:50:02;42 38.54261 N;012 33.10116 E;;;892,20;32,38;15,45;92.457;867,11;68,32;0,03;192,92;410,91
94;11:50:04;42 38.54688 N;012 33.10242 E;;;905,20;32,50;15,38;92.326;879,11;68,81;0,03;184,31;410,45
96;11:50:06;42 38.55022 N;012 33.10358 E;;;913,60;32,38;15,26;92.181;892,28;69,34;0,03;189,18;410,63
98;11:50:08;42 38.55574 N;012 33.10404 E;;;925,70;32,38;15,23;92.041;905,27;70,08;0,03;193,16;410,77
100;11:50:10;42 38.56011 N;012 33.10536 E;;;936,40;32,50;15,21;91.951;913,63;70,70;0,03;192,74;410,70
102;11:50:12;42 38.56439 N;012 33.10625 E;;;947,10;32,63;15,17;91.820;925,79;71,38;0,02;192,43;410,63
104;11:50:14;42 38.56916 N;012 33.10689 E;;;958,70;32,63;15,13;91.705;936,46;71,91;0,03;192,28;410,58
106;11:50:16;42 38.57314 N;012 33.10725 E;;;969,20;32,50;15,10;91.590;947,17;72,37;0,03;196,57;410,73
108;11:50:18;42 38.57804 N;012 33.10847 E;;;979,90;32,63;15,06;91.466;958,72;72,79;0,03;196,52;410,68
110;11:50:20;42 38.58299 N;012 33.10925 E;;;990,20;32,38;15,02;91.353;969,24;73,19;0,03;196,49;410,63
112;11:50:22;42 38.58757 N;012 33.11037 E;;;1001,40;32,63;;;;;;;410,63
114;11:50:24;42 38.59132 N;012 33.11136 E;;;1014,10;32,63;14,95;91.237;979,95;73,61;0,03;196,72;410,63
116;11:50:26;42 38.59644 N;012 33.11294 E;;;1024,50;32,63;14,82;91.123;990,28;74,00;0,03;188,63;410,21
118;11:50:28;42 38.60114 N;012 33.11342 E;;;1035,20;32,50;14,73;91.002;1001,42;74,43;0,03;176,19;409,58
120;11:50:30;42 38.60503 N;012 33.11557 E;;;1046,50;32,50;14,64;90.864;1014,19;74,86;0,03;176,56;409,55
122;11:50:32;42 38.60989 N;012 33.11714 E;;;1058,40;32,75;14,58;90.753;1024,51;75,23;0,03;172,59;409,32
124;11:50:34;42 38.61412 N;012 33.11883 E;;;1068,80;32,75;14,51;90.637;1035,28;75,31;0,02;161,07;408,73
126;11:50:36;42 38.61922 N;012 33.11943 E;;;1079,40;32,75;14,46;90.517;1046,51;75,23;0,03;161,51;408,71
128;11:50:38;42 38.62358 N;012 33.12073 E;;;1089,70;32,63;14,35;90.388;1058,40;74,96;0,03;166,55;408,90
130;11:50:40;42 38.62774 N;012 33.12143 E;;;1100,10;32,63;14,30;90.277;1068,80;74,91;0,03;175,17;409,26
132;11:50:42;42 38.63293 N;012 33.12324 E;;;1110,80;32,75;14,23;90.163;1079,43;75,03;0,03;175,65;409,24
134;11:50:44;42 38.63771 N;012 33.12578 E;27,80;55,54;1126,60;32,88;14,16;90.052;1089,78;75,25;0,03;176,05;409,22
136;11:50:46;42 38.64302 N;012 33.13481 E;;;1131,10;32,63;14,10;89.941;1100,18;75,46;0,02;176,36;409,19
138;11:50:48;42 38.64996 N;012 33.13819 E;;;1142,00;32,88;14,02;89.827;1110,80;75,63;0,03;172,71;408,98
140;11:50:50;42 38.65658 N;012 33.14427 E;;;1152,10;32,75;13,93;89.705;1122,16;75,64;0,03;186,24;409,58
142;11:50:52;42 38.66119 N;012 33.15002 E;31,00;29,41;1167,30;32,75;13,87;89.609;1131,15;75,46;0,03;186,94;409,57
144;11:50:54;42 38.66455 N;012 33.15658 E;28,20;45,05;1182,90;32,63;;;;;;;409,57
146;11:50:56;42 38.66984 N;012 33.16361 E;25,70;22,61;1195,80;32,75;13,85;89.495;1142,05;75,44;0,02;196,08;409,57
148;11:50:58;42 38.67484 N;012 33.16521 E;12,70;4,93;1204,30;32,75;13,82;89.388;1152,23;75,47;0,02;200,93;409,76
150;11:51:00;42 38.67880 N;012 33.16701 E;17,80;27,88;1217,00;32,75;13,80;89.285;1162,09;75,38;0,02;201,21;409,73
152;11:51:02;42 38.68441 N;012 33.17394 E;30,40;42,63;1227,20;32,75;13,75;89.173;1172,71;75,44;0,02;206,32;409,94
154;11:51:04;42 38.68979 N;012 33.18210 E;23,20;48,23;1238,70;32,75;13,70;89.045;1184,89;75,63;0,02;206,63;409,91
156;11:51:06;42 38.69385 N;012 33.18624 E;14,20;32,69;1248,70;32,75;13,66;88.923;1196,54;75,91;0,02;202,04;409,66
158;11:51:08;42 38.69919 N;012 33.18777 E;21,20;17,62;1259,90;32,63;13,59;88.800;1208,19;76,20;0,02;202,43;409,64
160;11:51:10;42 38.70664 N;012 33.19222 E;31,30;26,07;1269,70;32,88;13,54;88.665;1221,10;76,57;0,02;202,56;409,61
162;11:51:12;42 38.71310 N;012 33.19632 E;18,00;21,11;1282,20;32,63;13,42;88.552;1231,58;76,73;0,02;203,58;409,62
164;11:51:14;42 38.71615 N;012 33.20047 E;16,20;44,29;1292,50;32,75;13,34;88.434;1242,73;76,83;0,02;199,60;409,40
166;11:51:16;42 38.71886 N;012 33.20662 E;18,30;52,18;1303,50;32,88;13,23;88.306;1254,74;76,86;0,02;196,02;409,19
168;11:51:18;42 38.72288 N;012 33.21322 E;25,80;38,12;1315,30;32,75;13,15;88.174;1267,29;76,96;0,02;192,14;408,97
170;11:51:20;42 38.72989 N;012 33.21642 E;21,70;3,25;1326,60;32,75;13,08;88.042;1279,89;77,04;0,02;192,73;408,97
172;11:51:22;42 38.73353 N;012 33.21869 E;11,60;22,19;1337,10;32,63;13,05;87.922;1291,52;77,11;0,02;179,71;408,32
174;11:51:24;42 38.73674 N;012 33.22580 E;25,10;37,65;1347,90;32,75;12,98;87.799;1303,27;77,15;0,02;176,00;408,11
176;11:51:26;42 38.74463 N;012 33.23118 E;28,40;27,55;1355,30;32,88;;;;;;;408,11
178;11:51:28;42 38.74931 N;012 33.23693 E;18,70;33,22;1367,10;32,88;12,90;87.651;1317,45;77,04;0,03;181,09;408,11
180;11:51:30;42 38.75176 N;012 33.24013 E;9,10;45,37;1374,50;32,63;12,80;87.510;1330,87;77,03;0,03;181,99;408,12
182;11:51:32;42 38.75360 N;012 33.24253 E;9,60;;1383,90;32,63;12,77;87.392;1342,37;77,11;0,03;182,19;408,09
184;11:51:34;42 38.75532 N;012 33.24785 E;18,30;50,01;1393,10;32,75;12,79;87.288;1352,74;77,21;0,03;190,78;408,46
186;11:51:36;42 38.75902 N;012 33.25594 E;24,50;;1402,40;32,75;12,76;87.170;1364,26;76,92;0,03;195,90;408,67
188;11:51:38;42 38.76574 N;012 33.26243 E;25,80;27,71;1412,70;32,88;12,75;87.067;1374,42;75,61;0,03;197,24;408,70
190;11:51:40;42 38.77024 N;012 33.26562 E;10,80;25,70;1421,20;32,63;12,74;86.969;1384,09;73,97;0,03;203,62;408,97
192;11:51:42;42 38.77211 N;012 33.26940 E;16,60;55,72;1430,50;32,75;12,73;86.861;1394,77;72,68;0,03;205,00;409,00
194;11:51:44;42 38.77528 N;012 33.27703 E;23,60;45,31;1442,20;32,88;12,70;86.747;1405,96;71,76;0,03;206,21;409,02
196;11:51:46;42 38.78085 N;012 33.28191 E;18,60;22,68;1450,40;32,75;12,70;86.642;1416,42;71,15;0,03;206,81;409,02
198;11:51:48;42 38.78409 N;012 33.28365 E;9,20;22,60;1459,60;32,75;12,69;86.536;1426,94;71,04;0,03;207,02;409,00
200;11:51:50;42 38.78724 N;012 33.28583 E;13,70;32,94;1469,20;32,88;12,66;86.425;1437,88;71,06;0,03;202,51;408,75
202;11:51:52;42 38.79276 N;012 33.29077 E;27,10;35,66;1478,90;32,88;12,63;86.316;1448,63;71,01;0,03;202,85;408,74
204;11:51:54;42 38.79651 N;012 33.29736 E;24,20;30,61;1488,00;32,75;12,60;86.206;1459,50;70,94;0,03;203,22;408,72
206;11:51:56;42 38.80312 N;012 33.30405 E;16,20;44,50;1497,60;32,63;12,57;86.111;1468,88;70,75;0,03;198,96;408,49
208;11:51:58;42 38.80502 N;012 33.30789 E;7,30;;1505,80;32,75;;;;;;;408,49
210;11:52:00;42 38.80669 N;012 33.31365 E;18,70;58,23;1516,80;32,75;12,53;85.997;1480,12;70,37;0,03;199,71;408,49
212;11:52:02;42 38.81104 N;012 33.32157 E;30,50;47,27;1526,30;32,75;12,48;85.878;1491,83;70,14;0,03;200,42;408,49
214;11:52:04;42 38.81821 N;012 33.32934 E;25,70;33,42;1535,10;32,63;12,41;85.765;1502,84;70,08;0,03;201,16;408,50
216;11:52:06;42 38.82375 N;012 33.33243 E;14,50;24,92;1544,90;32,75;12,33;85.645;1514,53;70,06;0,03;197,25;408,28
218;11:52:08;42 38.82649 N;012 33.33739 E;20,10;52,04;1553,70;32,88;12,26;85.541;1524,66;70,01;0,03;197,97;408,29
220;11:52:10;42 38.83210 N;012 33.34543 E;30,40;44,25;1561,40;32,63;12,21;85.438;1534,80;69,97;0,03;198,49;408,28
222;11:52:12;42 38.83885 N;012 33.35207 E;25,40;29,92;1571,00;32,75;12,11;85.336;1544,59;69,98;0,03;199,46;408,30
224;11:52:14;42 38.84422 N;012 33.35518 E;13,00;24,41;1580,20;32,63;12,00;85.239;1553,82;70,00;0,03;195,81;408,10
226;11:52:16;42 38.84656 N;012 33.35825 E;9,80;41,98;1587,00;32,75;11,94;85.127;1564,86;70,01;0,03;178,23;407,24
228;11:52:18;42 38.84861 N;012 33.36052 E;10,90;33,40;1594,80;32,75;11,86;85.037;1573,56;70,10;0,03;174,51;407,04
230;11:52:20;42 38.85142 N;012 33.36356 E;18,30;26,35;1607,50;32,75;11,78;84.937;1583,28;69,94;0,03;175,33;407,05
232;11:52:22;42 38.85659 N;012 33.36974 E;29,90;47,46;1615,40;32,88;11,70;84.839;1592,82;69,71;0,03;171,90;406,85
234;11:52:24;42 38.85992 N;012 33.37897 E;21,00;64,50;1625,40;32,50;11,66;84.749;1601,77;69,62;0,03;168,06;406,65
236;11:52:26;42 38.86129 N;012 33.38617 E;17,40;69,05;1634,30;32,88;11,59;84.668;1609,63;69,52;0,03;173,00;406,85
238;11:52:28;42 38.86579 N;012 33.39325 E;26,10;36,89;1642,40;32,63;11,48;84.548;1621,26;69,40;0,03;178,42;407,08
240;11:52:30;42 38.87324 N;012 33.39719 E;25,20;18,14;1651,70;32,88;;;;;;;407,08
242;11:52:32;42 38.87822 N;012 33.40196 E;19,80;36,73;1661,90;32,63;11,33;84.424;1633,08;69,31;0,04;188,88;407,08
244;11:52:34;42 38.88114 N;012 33.41044 E;26,00;68,10;1671,50;32,88;11,28;84.336;1641,80;69,27;0,04;189,39;407,07
246;11:52:36;42 38.88532 N;012 33.41864 E;23,60;50,82;1681,30;32,75;11,17;84.230;1652,03;69,24;0,04;195,16;407,31
248;11:52:38;42 38.89058 N;012 33.42173 E;13,20;22,29;1689,30;32,88;11,09;84.140;1660,80;69,41;0,04;191,08;407,09
250;11:52:40;42 38.89280 N;012 33.42437 E;13,20;48,03;1699,20;32,88;11,01;84.022;1672,45;69,46;0,04;196,53;407,32
252;11:52:42;42 38.89634 N;012 33.43023 E;22,40;62,22;1706,20;32,63;10,97;83.919;1682,81;69,45;0,04;201,75;407,54
254;11:52:44;42 38.90026 N;012 33.43813 E;25,70;48,07;1714,10;32,75;10,92;83.820;1692,70;68,84;0,04;202,83;407,56
256;11:52:46;42 38.90414 N;012 33.44503 E;18,80;46,95;1724,00;32,63;10,88;83.716;1703,19;68,71;0,04;203,36;407,56
258;11:52:48;42 38.90698 N;012 33.44889 E;10,70;36,89;1733,20;32,88;10,81;83.617;1712,98;69,36;0,04;203,47;407,54
260;11:52:50;42 38.90687 N;012 33.45081 E;7,30;44,36;1745,30;32,88;10,75;83.525;1722,14;69,56;0,04;203,89;407,53
262;11:52:52;42 38.91022 N;012 33.45379 E;19,50;36,57;1755,50;32,75;10,75;83.449;1730,00;69,96;0,04;198,66;407,26
264;11:52:54;42 38.91646 N;012 33.45485 E;22,30;8,73;1765,00;32,88;10,70;83.339;1741,09;70,27;0,04;198,88;407,24
266;11:52:56;42 38.92164 N;012 33.45708 E;20,90;23,78;1776,60;32,75;10,63;83.226;1752,38;70,05;0,04;199,78;407,26
268;11:52:58;42 38.92570 N;012 33.46427 E;25,60;65,50;1785,00;32,63;10,55;83.128;1762,06;69,89;0,04;200,74;407,28
270;11:53:00;42 38.92877 N;012 33.47335 E;22,20;67,57;1794,60;32,75;10,48;83.031;1771,71;69,35;0,03;201,96;407,31
272;11:53:02;42 38.93176 N;012 33.48078 E;21,10;55,13;1806,30;32,88;;;;;;;407,31
274;11:53:04;42 38.93840 N;012 33.48508 E;24,10;31,16;1813,30;32,75;10,35;82.913;1783,19;69,35;0,03;203,29;407,31
276;11:53:06;42 38.94456 N;012 33.48716 E;17,40;8,90;1822,20;32,88;10,29;82.778;1796,88;69,35;0,03;203,92;407,31
278;11:53:08;42 38.94594 N;012 33.48991 E;10,00;57,04;1831,70;32,88;10,20;82.677;1806,86;69,53;0,04;199,77;407,09
280;11:53:10;42 38.94730 N;012 33.49678 E;23,10;71,50;1840,60;32,75;10,17;82.587;1816,07;69,96;0,04;199,68;407,06
282;11:53:12;42 38.94992 N;012 33.50521 E;18,90;65,48;1850,60;32,63;10,12;82.472;1827,79;70,45;0,04;199,74;407,04
284;11:53:14;42 38.95080 N;012 33.51112 E;11,20;66,63;1862,00;32,75;10,07;82.367;1838,47;70,69;0,04;200,04;407,03
286;11:53:16;42 38.95323 N;012 33.51354 E;10,60;39,03;1870,50;32,63;10,01;82.272;1848,05;70,81;0,04;195,69;406,80
288;11:53:18;42 38.95668 N;012 33.51801 E;19,30;43,18;1882,00;32,75;9,94;82.171;1858,21;70,57;0,04;196,61;406,82
290;11:53:20;42 38.95880 N;012 33.52491 E;16,80;70,41;1891,00;32,63;9,88;82.071;1868,33;69,57;0,04;198,11;406,86
292;11:53:22;42 38.95838 N;012 33.53096 E;14,90;86,31;1901,70;32,88;9,81;81.960;1879,56;69,50;0,04;198,89;406,88
294;11:53:24;42 38.95983 N;012 33.53784 E;19,20;65,55;1913,50;32,88;9,75;81.862;1889,50;67,85;0,04;196,11;406,72
296;11:53:26;42 38.96381 N;012 33.54430 E;23,80;38,16;1925,20;32,75;9,69;81.754;1900,51;66,30;0,04;198,09;406,79
298;11:53:28;42 38.96784 N;012 33.55198 E;22,60;69,10;1935,50;32,75;9,62;81.646;1911,46;65,43;0,04;199,58;406,83
300;11:53:30;42 38.96799 N;012 33.56066 E;21,00;92,20;1945,00;32,63;9,56;81.542;1922,06;64,67;0,04;195,96;406,64
302;11:53:32;42 38.96860 N;012 33.56939 E;22,90;70,31;1954,00;32,75;9,51;81.421;1934,56;63,42;0,04;197,56;406,69
304;11:53:34;42 38.97329 N;012 33.57688 E;24,10;39,10;1964,10;32,50;;;;;;;406,69
306;11:53:36;42 38.97761 N;012 33.58063 E;12,50;33,14;1973,80;32,63;9,41;81.307;1945,97;62,58;0,04;199,32;406,69
308;11:53:38;42 38.97880 N;012 33.58395 E;12,00;54,77;1984,70;32,75;9,32;81.199;1956,84;61,53;0,04;191,34;406,29
310;11:53:40;42 38.97938 N;012 33.59208 E;24,40;81,29;1995,40;32,63;9,21;81.086;1968,11;61,18;0,04;192,72;406,33
312;11:53:42;42 38.98050 N;012 33.60238 E;27,60;76,96;2004,30;32,63;9,14;80.992;1977,64;60,97;0,04;188,74;406,12
314;11:53:44;42 38.98367 N;012 33.61196 E;24,30;51,27;2016,40;32,63;9,10;80.882;1989,10;60,72;0,04;179,90;405,68
316;11:53:46;42 38.98807 N;012 33.61698 E;16,10;42,23;2026,10;32,75;9,04;80.776;2000,01;60,30;0,04;180,79;405,70
318;11:53:48;42 38.99267 N;012 33.62007 E;20,00;29,48;2035,20;32,63;8,99;80.665;2011,53;59,36;0,04;172,79;405,30
320;11:53:50;42 38.99722 N;012 33.62665 E;25,80;47,33;2046,10;32,75;8,95;80.560;2022,51;58,22;0,04;174,02;405,34
322;11:53:52;42 39.00002 N;012 33.63647 E;25,40;78,65;2056,00;32,50;8,94;80.473;2031,77;57,72;0,04;179,09;405,55
324;11:53:54;42 39.00147 N;012 33.64673 E;25,70;73,24;2065,20;32,63;8,86;80.357;2043,66;57,03;0,04;171,18;405,16
326;11:53:56;42 39.00514 N;012 33.65505 E;24,50;45,93;2075,40;32,63;8,82;80.267;2053,06;56,19;0,04;172,16;405,18
328;11:53:58;42 39.00911 N;012 33.65974 E;14,10;34,42;2086,90;32,63;8,77;80.170;2063,15;55,51;0,04;177,72;405,42
330;11:54:00;42 39.01170 N;012 33.66315 E;12,20;36,21;2097,30;32,50;8,72;80.069;2073,68;54,73;0,03;178,78;405,45
332;11:54:02;42 39.01559 N;012 33.66778 E;23,40;41,99;2108,90;32,63;8,68;79.964;2084,73;54,23;0,04;179,53;405,46
334;11:54:04;42 39.02031 N;012 33.67603 E;28,20;66,31;2116,70;32,50;8,63;79.848;2096,91;53,70;0,04;175,73;405,26
336;11:54:06;42 39.02133 N;012 33.68694 E;26,20;89,11;2124,80;32,63;;;;;;;405,26
338;11:54:08;42 39.02229 N;012 33.69715 E;27,00;73,07;2134,00;32,63;8,55;79.727;2109,42;53,14;0,04;176,87;405,26
340;11:54:10;42 39.02617 N;012 33.70787 E;30,20;62,39;2141,50;32,63;8,49;79.627;2119,83;52,73;0,04;173,10;405,06
342;11:54:12;42 39.03053 N;012 33.71531 E;18,00;44,31;2152,00;32,63;8,43;79.518;2131,22;52,59;0,04;173,73;405,07
344;11:54:14;42 39.03208 N;012 33.72215 E;21,40;78,32;2161,30;32,38;8,40;79.416;2142,09;52,49;0,04;178,73;405,28
346;11:54:16;42 39.03260 N;012 33.73308 E;30,00;80,54;2169,30;32,63;8,34;79.340;2149,92;52,68;0,04;179,14;405,28
348;11:54:18;42 39.03505 N;012 33.74535 E;31,40;66,79;2179,20;32,50;8,29;79.234;2161,10;52,76;0,04;179,53;405,28
350;11:54:20;42 39.03859 N;012 33.75533 E;24,80;54,79;2191,00;32,38;8,26;79.135;2171,68;52,65;0,04;170,60;404,84
352;11:54:22;42 39.04118 N;012 33.76133 E;12,90;64,54;2203,10;32,50;8,24;79.032;2182,79;52,67;0,04;161,81;404,40
354;11:54:24;42 39.04206 N;012 33.76725 E;17,60;79,96;2214,60;32,50;8,19;78.933;2193,25;53,17;0,04;157,52;404,18
356;11:54:26;42 39.04435 N;012 33.77716 E;30,70;62,62;2224,70;32,38;8,14;78.857;2201,19;54,09;0,04;161,65;404,35
358;11:54:28;42 39.04964 N;012 33.78534 E;22,70;44,25;2234,80;32,63;8,11;78.756;2212,05;54,91;0,04;165,74;404,52
360;11:54:30;42 39.05477 N;012 33.79008 E;21,50;38,06;2243,40;32,38;8,04;78.641;2224,14;55,39;0,04;166,00;404,52
362;11:54:32;42 39.06021 N;012 33.79801 E;31,20;48,99;2253,00;32,63;8,03;78.545;2234,64;55,93;0,04;161,28;404,27
364;11:54:34;42 39.06514 N;012 33.80926 E;32,00;56,90;2261,20;32,50;7,94;78.432;2246,38;56,60;0,04;165,99;404,47
366;11:54:36;42 39.07091 N;012 33.81812 E;26,70;37,56;2270,60;32,38;7,90;78.332;2257,10;56,99;0,04;166,06;404,46
368;11:54:38;42 39.07621 N;012 33.82302 E;18,00;36,61;2281,50;32,38;;;;;;;404,46
370;11:54:40;42 39.07953 N;012 33.83138 E;27,80;59,46;2292,70;32,38;7,83;78.236;2267,15;57,03;0,04;166,63;404,46
372;11:54:42;42 39.08480 N;012 33.84212 E;33,50;49,33;2300,80;32,50;7,80;78.141;2277,43;56,94;0,04;171,49;404,66
374;11:54:44;42 39.09184 N;012 33.84963 E;25,20;29,06;2310,60;32,50;7,74;78.041;2288,02;56,79;0,04;176,78;404,89
376;11:54:46;42 39.09656 N;012 33.85445 E;13,50;36,54;2320,80;32,63;7,72;77.948;2298,19;58,02;0,04;171,41;404,62
378;11:54:48;42 39.09738 N;012 33.86215 E;24,10;79,73;2331,80;32,50;7,68;77.840;2309,86;59,25;0,04;161,90;404,15
380;11:54:50;42 39.09897 N;012 33.87299 E;29,90;76,55;2341,80;32,63;7,55;77.727;2321,37;60,37;0,04;171,20;404,57
382;11:54:52;42 39.10186 N;012 33.88378 E;28,70;60,33;2351,40;32,50;7,55;77.628;2332,41;61,16;0,04;179,92;404,96
384;11:54:54;42 39.10577 N;012 33.89204 E;22,10;51,64;2361,10;32,50;7,53;77.527;2343,51;61,54;0,04;179,80;404,93
386;11:54:56;42 39.10949 N;012 33.89609 E;12,90;41,07;2369,70;32,63;7,52;77.425;2354,84;61,87;0,04;184,43;405,13
388;11:54:58;42 39.10970 N;012 33.90182 E;20,90;86,37;2380,60;32,50;7,48;77.320;2366,26;61,81;0,04;184,85;405,13
390;11:55:00;42 39.11126 N;012 33.91186 E;29,30;73,09;2391,20;32,50;7,47;77.215;2377,95;61,60;0,04;190,00;405,35
392;11:55:02;42 39.11474 N;012 33.92349 E;32,00;64,05;2400,70;32,63;7,45;77.108;2389,80;61,38;0,04;190,38;405,35
394;11:55:04;42 39.11866 N;012 33.93339 E;23,90;52,09;2410,60;32,50;7,41;77.025;2398,79;61,55;0,04;190,64;405,34
396;11:55:06;42 39.12189 N;012 33.93982 E;18,70;61,08;2422,50;32,38;7,37;76.920;2410,28;61,87;0,04;185,88;405,10
398;11:55:08;42 39.12282 N;012 33.94922 E;28,00;91,24;2431,80;32,50;7,33;76.811;2422,23;62,19;0,04;186,02;405,09
400;11:55:10;42 39.12338 N;012 33.96021 E;24,30;78,09;2443,10;32,38;;;;;;;405,09
402;11:55:12;42 39.12360 N;012 33.96695 E;12,80;80,93;2454,00;32,50;7,28;76.719;2432,19;62,60;0,03;186,18;405,09
404;11:55:14;42 39.12568 N;012 33.97040 E;13,70;54,99;2464,40;32,38;7,24;76.622;2442,81;62,99;0,04;186,26;405,07
406;11:55:16;42 39.12922 N;012 33.97679 E;23,00;53,96;2478,30;32,38;7,23;76.506;2455,86;63,44;0,04;186,00;405,04
